Date,Day,5p,6p,7p,8p,9p,10p
2017-08-07,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-08,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-09,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-10,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-11,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Special Report
2017-08-12,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,Declassified,The Nineties
2017-08-13,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Nineties,The Nineties,
2017-08-14,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-15,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-16,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-17,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-18,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,CNN Tonight With Don Lemon
2017-08-19,Saturday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,Declassified,The Nineties
2017-08-20,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Nineties,The Nineties,
2017-08-21,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,CNN Town Hall: House Speaker Paul Ryan (1 hours),
2017-08-22,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-23,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-08-24,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,
2017-08-25,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,CNN Tonight With Don Lemon
2017-08-26,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,Declassified,
2017-08-27,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Nineties (2 hours),,,
2017-08-28,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Program,CNN Tonight With Don Lemon
2017-08-29,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Cuomo Prime Time,CNN Tonight With Don Lemon
2017-08-30,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Cuomo Prime Time,CNN Tonight With Don Lemon
2017-08-31,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Cuomo Prime Time,CNN Tonight With Don Lemon
2017-09-01,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,,
2017-09-02,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,Declassified,Declassified,Declassified
2017-09-03,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Nineties (2 hours),,The Nineties
2017-09-04,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,,
2017-09-05,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-06,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-07,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-08,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Special Report
2017-09-09,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,Declassified,
2017-09-10,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,Anderson Cooper 360,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-11,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-12,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-13,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-09-14,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
