Date,Day,5p,6p,7p,8p,9p,10p
2017-12-10,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-12-11,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-12,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-13,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-14,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-15,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-16,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-12-17,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-12-18,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-19,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-20,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-21,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-22,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-23,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-12-24,Sunday,The Five,America's News HQ,Fox Report Sunday,Fox News Reporting,,Three Days in January: A Fox News Special
2017-12-25,Monday,The Five,Special Report With Bret Baier,,,,
2017-12-26,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-27,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-28,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-29,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,,The Ingraham Angle
2017-12-30,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-12-31,Sunday,The Five,America's News HQ,Fox Report Sunday,,,All American New Year (3 hours)
2018-01-31,Wednesday,,,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-01,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-02,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-03,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-02-04,Sunday,The Greg Gutfeld Show,Fox Report Sunday,,,The Next Revolution With Steve Hilton,Fox Report Sunday
2018-02-05,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-06,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-07,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
